title,description,Sex
UNCUT: Nacho Sanchez - Juneru (8C/V15),Ruben Diaz put up this sick line just left of the classic Esperanza in Albarracin and here Spanish beast Nacho Sanchez takes down the 2nd ascent,Male
UNCUT: Daniel Woods - Multiverse (V15),Daniel Woods makes the 4th ascent of Jimmy Webb's classic boulder problem located in Wyoming. World's best shit right here.,Male
Roadkill (V15/8C) First Ascent - Shawn Raboutou,"Shawn Raboutou takes down the Roadkill project in Valle Bavona, Switzerland. 

Hoodies out now mellowclimbing.shop

Filmed by: 
Giuliano Cameroni
Shawn Raboutou

Edited by:
Shawn Raboutou",Male
UNCUT: Ben Burk - Esperanza (V14),UNCUT: Ben Burk in Hueco sending Esperanza V14.,Male
UNCUT: Nina Williams - The Shining (V13/8B),"Nina Williams one of the strongest outdoor female climbers in the world dominates this classic Colorado boulder ""The Shining"". 

Filmed: James Lucas",Female
Quick Hit: Backwoods Bouldering,Jimmy Webb and Taylor McNeill throwback of some backwoods bouldering in North Carolina,Males
Sam Richard - Big Island 8C/V15,"Sam Richard, a 15 year old climber from France takes down “The Big Island” 8C/V15.

Video by: San Richard, Timothée Nitschke, and Tristan d’anterroches",Males
Clément Lechaptois - Foundation's Edge (8C/V15),"Clem on the third ascent of Foundation's Edge, a boulder opened by Dave Graham in Fionnay, Switzerland",Male
UNCUT: Jimmy Webb - Book of the Dead (5.14b/8c) First Ascent,"Jimmy webb establishing a gorgeous line in South Lake Tahoe, CA",Male
UNCUT: Jimmy Webb - Off the Wagon Sit (8C+/V16),Jimmy’s 2020 trip to Ticino starts off with the second ascent of one of Switzerland’s hardest boulders.,Male
Gottardo classics,"Giuliano Cameroni, Clément Lechaptois and Marine Thevent climbing some of Gottardo's finest boulders

Stairway to heaven 8B/+ FA & 2nd ascent 
Bonjour finesse 8B FA 
Kingda Ka 8B FFA
Dark side of the moon 7C+
Lucy 8A",Mix
UNCUT: Keenan Takahashi - Midnight Express (V14/8B+),"Keenan Takahashi climbing the Ty Landman classic in Boulder Canyon, CO in January 2019. 

Filmed // edit by KT",Male
UNCUT: Daniel Woods - Mirta (8B+/V14),D-woods almost flashed Mirta and here's the uncut of his 2nd try,Male
Jimmy Webb: Go Font Yourself (2019),"Jimmy Webb's 2019 trip to Fontainebleau gets stormed out and he heads to Ticino. 

2020: Jimmy is back in Europe with the crew (Giuliano Cameroni, Keenan Takahashi and Daniel Woods) ready to test himself on the hardest blocs and discover some of the best and untouched boulders in the world. Stay tuned...

Climbs, in order:
Belial (8B+)
Kubalik (8B)
Casavino (8B+)

Video by Kevin Takashi Smith",Male
Giuliano Cameroni - FA's in Magic Wood,"Giuliano establishing a few new boulders in Magic Wood, Switzerland

Lowrider 8B FA
Glory hole 8B FA
Fear of the dark 8B+ FA",Male
UNCUT: Dave Mason - Fatal Flaw (8B/V13),"Dave Mason snagging a rare ascent of a Flock Hill, NZ classic",Male
UNCUT: Clément Lechaptois - Get Railed (8B+/V14),"Clem climbing one of the best lines in Rocklands, South Africa, during summer of 2018.",Male
Lord of CHOSStown: Taken for Granite,Hunter Damiani and friends go on a first ascent rampage in CO.,Males
UNCUT: Daniel Woods - Black Eagle (8C/V15),"Daniel Woods climbs the second ascent of Black Eagle Assis (8C/V15) in Rocklands, South Africa in the summer of 2018. Filmed by Giuliano Cameroni.",Male
UNCUT: Nicholas Milburn - The Reckoning (V14/8B+),"Nicholas smashing the Tim Doyle compression classic in Squamish, BC.

Filmed by David Speyrer",Male
Road to Tokyo: Keenan Takahashi,"Keenan's first trip to Japan wasn't supposed to be a climbing trip...

Climbs in order:
Butterfly Effect (V13/8B)
Asagimadara (V15/8C)
Fūjin (V14/8B+) FA
Hōtō (V14/8B+) FA

Special thanks:
The Takeuchi family
Nick Hodge
Koha Urawa
Rob Ueno

Filmed by:
Nick Hodge
Toshi Takeuchi

Edit:
KT",Male
UNCUT: Brooke Raboutou - Muscle Car (V14/8B+),"Please be very careful about accessing this boulder. Follow all of the directions given by Mountain Project. 

Directions: 
https://www.mountainproject.com/area/108580638/echo-canyon-aka-the-scoop",Female
UNCUT: Niky Ceria - Re di Pietra (8B/V13),"Niky Ceria making the third ascent of Re di Pietra in Italy.

FA: Christian Core",Male
UNCUT: Jimmy Webb - White Noise (V15),Jwebb scaling the classic Colorado Dwoods testpiece in-between rainstorms.,Male
"Elijah Kiser: ""Levity"" (v14/8B+) FA","Elijah takes down the FA of this wild-looking line in Boone, NC.

video and edit by Daniel Gajda @gajdaphotograhpy",Male
Adidas Terrex Presents: Brooke Raboutou on Traphouse (8B/V13),"Brooke Raboutou uses a crazy finger lock to send Traphouse 8B/V13 in one day. 

Produced by Finn Stack.

Presented by Adidas Terrex.",Female
UNCUT: Drew Ruana - Box Therapy (8C+/V16),Drew getting the 2nd ascent of Daniel Wood's Box Therapy. 6 miles in and 6 out to get to this beast.,Male
UNCUT: Andy Gullsten - Silver Lining (8C/V15) First Ascent,"Andy on the FA of Silver Lining, one of the coolest looking boulders anywhere, situated in Finland

Filmed by Ville Kurru

You can also check out the edited movie by Ville at: https://vimeo.com/409004979",Male
A Very Daniel Rocklands,"Daniel Woods is a very very guy. The Rocklands are a very very place. Check out D-dubs take down some boulder problems from his 2018 South Africa voyage. 

Edit by Stefan Lavender",Male
Best rock in the World?,"Jimmy Webb, Davin Bagonas, Daniel Woods and Keen Takahashi establishing incredible lines deep in the Grand Tetons.",Males
UNCUT: Daniel Woods - Grand Illusion (8C+/V16),"Daniel makes the 3rd ascent of ""Grand Illusion"" which was established by Nathaniel Coleman. This power-resistant climb has some unique granite features (for a near horizontal roof). There is nowhere to rest and the crux comes down to being fresh enough to execute the last v9/7C move at the end. You have already climbed a v15/8C to this point. legend climb

Sorry for the annoying leaf blower sound

shot by Shawn Raboutou",Male
UNCUT: Shawn Raboutou - Forks and Ladders (8B/V13),Shawn Raboutou does the second ascent of a new classic climb put up by Facundo Langbehn in Chile.,Male
Quick Hit: Big Kat (8B+/V14) -  Keenan Takahashi,Keenan Takahashi crushing one of Switzerland's finest boulders.,Male
UNCUT: Marine Thevenet - Scarred for Life (8A+/V12),,Female
Giuliano Cameroni - FA's in Brione,"Giuliano making the first ascent of a few good boulders in Brione, Switzerland.

Sunflower 8A/V11
Fuoco di Paglia 8A+/B V12/13
Red 8A/V11
Khumba Mela 8A+/V12
Kubalik 8B/V13
Fiona 8A+/V12

Edit by Giuliano.
""Thanks Fiona for being the best dog! Love ya""",Male
Jimmy Webb: Dreamcatcher (9a/5.14d),"In the summer of 2018, during a three-month road trip, Jimmy Webb made a spontaneous decision to try ""Dreamcatcher"", the iconic Chris Sharma route in Squamish, British Columbia. This video chronicles his process of training for, and then battling with Dreamcatcher. Enjoy!

Video: Kevin Takashi Smith",Male
The North Face Presents: VALLEMANGIA - Jimmy Webb,"Jimmy Webb in Ticino, Switzerland during his 2023 season. Establishing new lines, revisiting old projects and repeats hard area classics. 

Fight club 8B+
Momentum 8B+
Nascondino FA
Ninjitsu 8B+
The new abnormal 8B+/C FA
Swiss Air 8C FA

Presented by: The North Face 
Filmed by: ROMAN YALOWITZ @patinaeater",Male
UNCUT: Taylor McNeill - Sailor's Delight (V14)  First Ascent,Taylor establishing a new one in the back woods of North Carolina,Male
Quick Hit: Brione,"The first video of our new Quick Hit section features Jimmy Webb, Guliano Cameroni, and Jernej Kruder in Brione, Switzerland.

List of problems:

Zottman (8A+ FA)
Wie im Urlaub sit (8B+ FA)
Casavino (8B+)

Music in this video
Tello ft. Jo Hell - Bigottismo
https://www.youtube.com/watch?v=_8vmjTlspaU",Males
UNCUT: Jonathan Siegrist - Kinder Cakes (5.15A/9A+),"Established by Joe Kinder, Jonathan makes the second ascent of Kinder Cakes 5.15A (9A+) in Rifle, Colorado.",Male
UNCUT: Jimmy Webb - Mind Shift (V14/8B+) First Ascent,Jimmy Webb climbing the first ascent of Mind Shift (V14/8B+) in Tennessee in January 2019. Filmed by Taylor McNeill; edited by JW.,Male
Colorado - The Scoop (2019),"In June 2019 Chad Greedy and Isabelle Faus discovered a new crazy boulder in their backyard, stacked with powerful moves. They took their friends Giuliano, Daisuke, Daniel and Shawn to test it out. Although these problems are the most obvious lines, there's still some harder link ups left to do...

Jeremiah V12 FA
Chimichanga V13 FA
Muscle car V14 FA + 2nd
Critter V13 FA

edit by Giuliano

music by Metallica - Fade to black",Mix
Charles Albert - The Barefoot Climber,"Charles Albert bouldering in Fontainebleau, Magic Wood and Val Bavona

Video shows the process on No Kpote Only and some mellow climbing in Fontainebleau and Switzerland, including the FA of a spectacular 8B in Val Bavona",Male
Uncut:  David Fitzgerald - Bursting at the Seams (V14/8B+),"The Irish underground legend snags the 2nd ascent of a Jimmy Webb bloc out in South Lake Tahoe, CA",Male
La Force Tranquille (8C/V15) Giuliano Cameroni,Giul on the 4th ascent of this mega classic opened by Daniel Woods in Magic Wood,Male
Isabelle Faus - Behind the Seams (V14 First Ascent),"Take a step into Isabelle Faus's routine to be one of the best female boulderers in the world. Watch her establish Sinawav (V14/8B+) and learn about her process of developing boulders.

Presented by Scarpa: https://us.scarpa.com/rock-climbing
Shop Isabelle's clothing line: https://whateverriisabelle.com

A film by Matty Hong",Female
"Daniel Woods: ""Manphibian"" (9a/14d)","Daniel makes an ascent of a route called ""Manphibian."" The route was put up by Andy Raether and is located at the ""Roost"" in Mt. Charleston. The breakdown is an intro 14c to the halfway point, followed by a 14a outro with a spicy slab finish. 

Filmed and Edited by:
JP Melville & Eric Fallecker

Additional Camera: Jessy Ware
Animations: Ray Caburnay

Music- Transmitter, Code 10, The Better Kids, ANITEK
All music licensed by Jamendo",Male
Francesco Berardino - Off the Wagon (8C+/V16),Italian young gun Francesco Berardino (19) climbing his first V16 with the iconic Off the Wagon (ground start). He’s been trying it for several years and this spring it came together! Congrats!,Male
UNCUT: Adam Wernham - Crown Jewel (V10),Adam scaling one of Tahoes best,Male
The Swell,"Jimmy Webb & Taylor McNeill developing a couple rad new lines in the San Rafael Swell, UT.",Males
"A Mellow Bavona ""Troppi progetti""","Giuliano Cameroni, Charles Albert and Daisuke Ichimiya discovering new boulders in Val Bavona, Switzerland

Film by Giuliano",Males
Andromeda V14 First Ascent -Sam Rockstein,Sam Rockstein folks!!!,Male
UNCUT: Clement Lechaptois - Heritage (8B/V13) Flash,Clem flashing Heritage in Valle Bavona,Male
UNCUT: Elias Iagnemma - Gioia (V15/V16),"5th ascent of the mythical Gioia in Varazze, first ascended by Christian Core in 2008",Male
Dalton Bunker vs  Planet Garbage (14d/9a),"Dalton takes down one of Rifle's hardest routes, Planet Garbage. Line is super steep, powerful, and resistant. Great moves on this one. 

video by Ben Neilson @neilson.ben",Male
UNCUT: Hannah Donnelly & Paul Whitaker - Green Mamba (8A+),"Hannah and Paul crushing a classic last summer in Rocklands, SA",Mix
Aidan Roberts crushing in Colorado,"Silent crusher Aidan Roberts climbing some hard classics in Colorado, USA

list of boulders
Cat Ranch (V12/13)
Chocolate Jesus (V14)
Ode to the Modern Man (V14)
Jade (V14)
Evil Backwards (V13)
Pleonexia (V11 FA)
Mental Pollution (V12 Flash)

Edit by Giuliano",Male
"The North Face presents: Nina Williams ""RIDING THE WAVE"" -  CHINA BEACH 5.14B/8C","China Beach is one of those unique routes that possess character; ask any of its ascenders and they'll probably tell you how memorable and meaningful it was for them to climb it.

Nina Wiliams had her eyes set on it since she was a child. As a New Englander, she found herself staring at China Beach every time she'd be climbing at Waimea (Rumney, NH) and now two decades later, she came back to put up the first female ascent of this king line: CHINA BEACH 5.14B/8C

Presented by: The North Face 
Film+Edit: Jordi Llauradó",Female
UNCUT: Aidan Roberts & Yannick Flohe - Forgotten Gem (8C/v15),"Kim Marschner recently made the First Ascent of a new line in Chironico calling it ""Forgotten Gem."" Aidan and Yannick decided to have a go at it and both put it down in a session. Great effort!",Males
Giuliano Cameroni - Off the Wagon (8C+/V16),"Giul doing the 4th ascent of Off the Wagon (No wagon) an historical problem in Val Bavona, Switzerland, found by Dave Graham and FA'd by Shawn Raboutou.",Male
UNCUT: Eric Jerome - Show Your Scars (V14/8B+),"Eric Jerome making the second ascent of Pete Lowe's Show Your Scars in Ogden, Utah. Filmed by Taylor McNeill.

First Ascent by Pete Lowe",Male
UNCUT: Pablo Hammack - Love will tear us apart (V15/8C) First Ascent,"Pablo establishing the first V15 in Yosemite Valley, CA",Male
Giuliano Cameroni - Hazel Grace (sit) V15/16 FA,,Male
UNCUT: Daniel Woods - Defying Gravity (8C/v15) First Ascent,"Daniel Woods makes the FA of Defying Gravity at Thunder Ridge, CO. One of CO's finest power blocs.

Video by Max Krimmer",Male
Daniel Woods: Witness the Fitness (V15/8C),Lost footage of Daniel Woods making the third ascent of Witness the Fitness (V15/8C). Multiple holds had broken since the ascents of Chris Sharma and Fred Nicole making the climb substantially harder.,Male
UNCUT: Ben Burkhalter - Half Moon (V14/8B+),Ben Burk with a stylish send of Half Moon (V14/8B+) originally put up by Jimmy Webb over 10 years ago.,Male
Clement Lechaptois - Solitary Daze (8C/V15) FA,"Clement Lechaptois doing the FA of Solitary Daze in Fionnay, Switzerland",Male
"Jimmy Webb & Shawn Raboutou on Fallen Angel, V15",Jimmy and Shawn establishing  one of Tahoes hardest.,Males
UNCUT: Giuliano Cameroni - Topaz (V14/V15),"Giuliano climbs Topaz (2nd go after doing the moves) in RMNP

FA: Dave Graham
Camera: Shawn Raboutou",Male
MEGATRON V17,"A long-standing project in Colorado finally gets done, becoming one of the hardest boulder problems in the world.

Featuring: Shawn Raboutou, Daniel Woods, Drew Ruana, Chad Greedy, & Jimmy Webb

Presented by: The North Face

Film by Matty Hong",Male
UNCUT: Simon Lorenzi  - Satan Y Helvete bas (8B+/V14),Simon making quick work of a Fontainebleau classic: Satan Y Helvete bas (8B+/V14). A unique line providing both technical and powerful movement.,Male
Brooke Raboutou Edit: Sendy Switzerland,Brooke made a sweet edit showcasing her fight with some true test pieces in Ticino this winter.,Female
Dalton Bunker - Moonshine (14d/9a),"Dalton gettin' his dose of Moonshine (9a) at Wild Iris, WY. This small yet resistant route was established by local legend BJ Tilden. This thing bites back hard... a swig of moonshine wouldn't hurt before trying to numb the pain...",Male
Uncut: Jimmy Webb - Vorpal Blade (V13/8B) Flash,"Jimmy flashing the ultra classic Vorpal Blade at Black Mountain, CA in May 2019. 

Video and edit by Kevin Takashi Smith.",Male
UNCUT: Daniel Woods- Sleepwalker (V16),"Back in Jan. Daniel made the 2nd asc. of ""Sleepwalker"" established by Jimmy Webb. Climb is located in Red Rocks, NV on the infamous wet dream boulder. The climb is ranked as one of the hardest lines in the world.",Male
UNCUT: Shawn Raboutou - Spectre (V13) Flash,"Yewww

Video: Ben Neilson",Male
"""Confluence""","""Confluence"" is a rad film that follows Zach Galla, Sean Faulkner, and Toinon Beigne in Little Cotton Wood Canyon. 

A film by: Bobby Vannoy",Males
Jonas Winter in Val Bavona,"Jonas climbing some of Bavona's finest blocs, including two FA's

Tomba 8B+ 2nd ascent
Off the Wagon 8B+
La peregrina 8A+ FA
Enkidu 8A+ FA",Males
Elias Iagnemma - Ziqqurat (8C/V15),Crazy roof in Italy FA's by Niky Ceria,Male
UNCUT: Diego Cameroni - Kingda Ka (8B/V13),"Diego making the second ascent of a beautiful and technical boulder opened by his brother Giuliano in Gottardo, Switzerland.",Male
UNCUT: Daniel Woods - The Process (V16/8C+) First Ascent,"DW vs ""The Process"" aka Humpty Dumpty (very fragile climb) in Bishop, CA. For the full length film, checkout the Reel Rock 10 segment ""High and Mighty.""",Male
UNCUT: Vadim Timonov - Blackflip Sit (8C+\9A),"Vadim Timonov makes  the First Ascent of Blackflip sit (8C+\9A). 

This boulder problem is located in the Djan-tugan area of Mt. Elbrus in Russia. While establishing the 8C stand start earlier in the year, Vadim kept returning to complete the sit start project. This process took three separate trips to tick off.",Male
UNCUT: Giuliano Cameroni - La rustica (8C/V15),One of the best boulders in Ticino (FA Jimmy Webb),Male
UNCUT: Clément Lechaptois - Fan Speed (8B+/V14),"Clément on a late 2nd ascent of this old beauty put up by Tony Lamiche in Chamonix, France",Male
UNCUT: Tomoa Narasaki - Decided (8B+/V14) Flash,"2019 Bouldering World Champion/World Cup overall winner/Olympian Tomoa Narasaki just flashed ""Decided"" (8B+/v14) in Mizugaki, Japan.",Male
UNCUT: Isabelle Faus - Mamba (V11/12),Isabelle stylin the Pinecliff classic highball. No Fear! FFA,Female
"Adidas Terrex: Brooke Raboutou climbs ""Trieste"" V14","Adidas Terrex presents Brooke Raboutou on her mission to climb one of her longest-standing projects. After only 3 days on her second trip, she sent ""Trieste"" V14 in Red Rocks, Nevada. Is this just the beginning of what Brooke is capable of?

Video: Shawn Raboutou
Additional Video: Finn Stack

Music: Margarine by Buenahs (https://open.spotify.com/album/5rMe1QQIisygfDjpo7TSGc)",Female
Sessions: Kingdom Wall,"Enjoy a stacked crew throwing down on the Kingdom Wall in Brione, Switzerland. Featuring Shawn Raboutou, Daniel Woods, Aidan Roberts, Giuliano Cameroni, Matty Hong, Dave Graham, Yannick Flohé, and Carlo Traversi.

Video by Ben Neilson",Males
Sean Bailey - Coup de Grâce (9a/5.14d),"Sean taking down Dave Graham's classic route in Val Bavona, CH. 

Film: JWebb
Edit: KT",Male
HEAVEN,"Jimmy, Keenan, and the CA crew establish a bunch of boulders at a re-discovered high elevation zone.

Filmed by:
Keenan Takahashi
Jimmy Webb
Rami Annab
Hannah Donnelly

Edited by Keenan Takahashi",Males
Rocklands - The Danger Zone,"Mellow presents the Danger Zone, a newish area in Rocklands just five minutes from Traveller's Rest. Lots of hard and powerful boulders and still room for more potential!

Featuring: Giuliano Cameroni, Isabelle Faus, Shawn Raboutou and Keenan Takahashi 

List of boulders: 
Great Roof V4 FA
Sex on the Beach (stand) V11 FA
Hiding in the Shadows V13 
Inevitable V13
Hiding in the Shadows V13 FFA
Hipster Whale v13
Microcline V12 Flash
Law and Order V12 2nd Go
Hot Zucchini V11
Smack Attack V11 FA

Edit: Giuliano",Mix
Dave Graham vs. Hazel Grace (8C),"San Gottardo, Switzerland. Dave returns to the Swiss Alps to try an old project of his, recently FA'd by Giuliano Cameroni called Hazel Grace (8c).",Male
A Mellow Rocklands,"In the summer of 2017 many people went to the Rocklands. The rock is orange, the food is cheep, the boulders are tall. Here you can watch Shawn Raboutou and crew send a plethora of boulders, and do it with steeze (style + ease). Enjoy A Mellow Rocklands. - edit Stefan",Males
UNCUT: Barefoot Charles Albert - No kpote only (proposed 9A/V17) First Ascent,"In January 2019, Charles Albert barefoot climbed his longstanding project, proposing the mythical 9A/V17 grade. A year later, Ryohei Kameyama repeated the line and suggested 8C+/9A. Time will tell how hard this boulder actually is, but for now it stays as one of the hardest ascents ever, and barefoot...

Video by Lucien Martinez",Male
UNCUT: Keenan Takahashi - Outer Limits (V15/8C),"Keenan taking down one of Tahoe's best and hardest boulders, established by Jimmy Webb in 2017.",Male
UNCUT: Giuliano Cameroni - Legacy (9A/V14) First Ascent,"Giuliano Cameroni on the FA of Legacy a bouldery route in Rocklands, ZA. The line was found by Dave Graham and lately bolted by a local for Fred Nicole, who tried it for five seasons. This year, Fred allowed Giuliano to try, who made the first ascent after three days of work.",Male
UNCUT: Niky Ceria - Ephyra (8C+/V16),Niky making the 2nd ascent of this Jimmy Webb classic line in Chironico,Male
UNCUT: Aidan Roberts - Momentum (8B+/V14) Flash,"Aidan Roberts flashing Momentum 8b+/v14. This ""board"" esque line is super finger and body tension oriented. The crux involves taking a quarter pad right-hand crimp and doing a desperate left-hand snatch to a full pad flat pinch (though Aidan doesn't make it look so desperate). Great flash style line due to the simplicity of the movements. Just gotta be strong and hang on.

Video by Kim Marschner @kimmarschner6236",Male
UNCUT: Keenan Takahashi - Eternal Return (V11/8A) First Ascent,Keenan on the first ascent of a new compression problem in Yosemite.,Male
"The North Face Presents: ""Return of the Sleepwalker"" (9A/v17) (First Ascent)","Daniel Woods goes straight into battle mode with one of his hardest projects to date. Jimmy Webb established ""Sleepwalker"" (the stand start) back in January of 2019. The possibility of a sit-start arose in 2021. This sit-start would add in a 7 move 8B/v13 into ""Sleepwalker"" (8C+/v16). Grades can be fickle, but ROTSW stands as one of the hardest boulder problems in the world. Bobby Sorich did an awesome job capturing Daniel's process, emotion, and overall journey to climb ROTSW. 

Hope you enjoy the film and are inspired to go out and mind fuck yourself a bit. Climbing is an awesome outlet to see how far you can go within, learn about yourself, and pull some freak shit out of you. All to accomplish a feat of strength that will give you 30 seconds of bliss, but a huge confidence boost within that's carried throughout your life. It's all a game out there... have fun playing the game. DW

Get 15% off your ENTIRE ORDER at evolvsports.com 
Discount Code: Sleepwalker
Snag yourself a pair of phantoms!! (shoe used to climb ROTSW)",Male
Cresciano Classics,"Cresciano Classics takes you through the new and old classics of Cresciano, Switzerland. Filmed and Edited by Giuliano Cameroni.

Iur, 8b+ (2nd ascent)
Somnolence, 8b (first ascent)
Endless River, 8b (first ascent)
Great Escape, 8b (first ascent)
The Story of Two Worlds, 8c",Males
UNCUT: Daisuke Ichimiya - Amaterasu (V14/8B+),Daisuke on an incredible looking boulder! FA Dai Koyamada,Male
"""Abrasive but nice"" - Welcome to Cocalzinho","Local Rafael Passos shows Giuliano and Daniel a few long term projects. Vibez were high even into the late hours of the night. Brazil is no joke... survival of the fittest.

Esmaga V14 FA
Mad Max V14 FA
Aquamarine V13 FA",Males
